sha, contributor, date, message
1e505d4c22, Simon Richter, Mon Apr 18 07:57:35 2022, "Remove a few call sites of SCH_SHEET::SetSize"
26370583fa, jean-pierre charras, Mon Apr 18 11:25:51 2022, "French translation update and fix a typo."
0211d07060, jean-pierre charras, Mon Apr 18 10:32:36 2022, "Footprint viewers: fix regression: re-add automatic zoom option when loading a new footprint Fixes #11402 https://gitlab.com/kicad/code/kicad/issues/11402"
55a8fb39c4, Jeff Young, Sun Apr 17 21:02:05 2022, "ADDED filtering for Symbol Fields Table dialog."
71c2cb3180, Jeff Young, Sun Apr 17 19:14:50 2022, "ADDED revert for pcbnew and eeschema."
9b087a3c25, Jeff Young, Sun Apr 17 15:02:19 2022, "Add automatic precision choices for dimensions."
38c54ffa8f, jean-pierre charras, Sun Apr 17 09:54:19 2022, "Eeschema, Symbol Library Browser: fix crash when left clicking on the canvas."
e09147db30, Jeff Young, Sun Apr 17 01:22:27 2022, "Cross-probing for ERC dialog."
7f4f5f2882, Jeff Young, Sun Apr 17 00:55:19 2022, "Save and re-load query string in Choose Symbol dialog."
9ff1ae5bdc, Jeff Young, Sat Apr 16 01:57:08 2022, "Better inspection reporting for netclasses, custom rules and DRC."
250a246761, Seth Hillbrand, Sun Apr 17 00:44:34 2022, "Clear flags after we're done with them"
65f7d9f97a, jean-pierre charras, Sat Apr 16 18:55:04 2022, "EEschema: move symbol checker code in symbol_checker.cpp. - Add some tests for Power symbols. - Fix incorrect print format in some messages."
2f2e956921, Seth Hillbrand, Tue Apr 12 20:37:18 2022, "Sync via/pad flashing for null boards"
ce9bd780d1, Seth Hillbrand, Fri Apr 15 23:56:18 2022, "Fix crash due to cleared view data"
7f3a75bccd, Jeff Young, Fri Apr 15 23:09:35 2022, "Add a bunch more inspections for rule resolution."
4a63614a4a, Seth Hillbrand, Fri Apr 15 22:00:16 2022, "Update Translations"
3d9e47fc26, prometheus, Fri Apr 15 11:56:50 2022, "Translated using Weblate (Turkish)"
3137c2399a, Ulices, Tue Apr 12 15:48:28 2022, "Translated using Weblate (Spanish (Mexico))"
74202b129e, Wellington Terumi Uemura, Mon Apr 11 23:42:11 2022, "Translated using Weblate (Portuguese (Brazil))"
f38987ac49, Eric, Tue Apr 12 03:48:48 2022, "Translated using Weblate (Chinese (Simplified))"
3998e7705a, Henrik Kauhanen, Wed Apr 13 19:08:36 2022, "Translated using Weblate (Swedish)"
589d8b3288, ZbeeGin, Wed Apr 13 16:24:19 2022, "Translated using Weblate (Polish)"
3bb2cb1f5a, Bas Wijnen, Tue Apr 12 08:48:08 2022, "Translated using Weblate (Dutch)"
efe716432e, Toni Laiho, Tue Apr 12 12:23:29 2022, "Translated using Weblate (Finnish)"
e1556e84b1, Arnau Llovet Vidal, Tue Apr 12 06:39:24 2022, "Translated using Weblate (Catalan)"
be7e9d300e, Seth Hillbrand, Fri Apr 15 20:15:46 2022, "Handle updated document description format"
18ac4ed842, Jeff Young, Fri Apr 15 14:56:58 2022, "Fix crash when selecting DRC marker (as opposed to one of its children)."
e9da8c3a00, jean-pierre charras, Fri Apr 15 13:19:35 2022, "Ensure net_code is not used by non copper zones when saving the board file. For some obscure reason, non copper zones inside footprints can have non 0 netcode. Fixes #11395 https://gitlab.com/kicad/code/kicad/issues/11395"
4ee6cfe5b6, Jeff Young, Thu Apr 14 18:55:08 2022, "Disable all use of the default instance reference prefix for annotation."
6ef6e37edb, Jeff Young, Thu Apr 14 18:08:49 2022, "Disable using default instance data when writing to clipboard."
dbee441328, Jeff Young, Thu Apr 14 16:09:00 2022, "We've probably smoked out enough of the GetLayer() issues."
160240166c, Jeff Young, Thu Apr 14 14:09:38 2022, "Cleanup."
c78a47c3fb, Jeff Young, Thu Apr 14 01:14:46 2022, "Remove extra test."
d01c2a6614, Jeff Young, Thu Apr 14 01:03:06 2022, "Add PCB_ARCs to type enum."
378a2de37c, Jeff Young, Thu Apr 14 00:45:51 2022, "Formatting."
d2c5eb1f23, jean-pierre charras, Thu Apr 14 15:35:49 2022, "Fix a minor error in commit b154acc: the commit was using a too old file."
b154acccdc, jean-pierre charras, Thu Apr 14 14:53:13 2022, "STEP export: handle polygons with arcs (and convert arcs to segments). Fixes #11389 https://gitlab.com/kicad/code/kicad/issues/11389"
034b57d9c0, Jeff Young, Thu Apr 14 00:37:42 2022, "When reannotating keep existing prefix in most cases."
604a148f40, Jeff Young, Wed Apr 13 18:51:42 2022, "Don't apply electrical clearance to shapes on Edge.Cuts."
c64ea07d0b, Marek Roszko, Wed Apr 13 03:40:39 2022, "Check HKCU before HKLM for registry policies"
184b67098f, Jeff Young, Tue Apr 12 22:13:26 2022, "Meet user expectations on life-cycle of symbol fields."
85f6ff48e7, Roberto Fernandez Bautista, Tue Apr 12 22:33:52 2022, "CADSTAR Sch: Clear symbol of all elements before overwriting with new one Fixes https://gitlab.com/kicad/code/kicad/-/issues/11378"
306dfef7e5, Jeff Young, Tue Apr 12 20:18:15 2022, "Fix typo."
576f3dc2fd, Jeff Young, Tue Apr 12 19:13:15 2022, "Keep pins aligned to grid when possible."
a33e23e25a, Jeff Young, Tue Apr 12 16:19:18 2022, "Import radial dimensions from Eagle."
739f4d0a1e, Jeff Young, Tue Apr 12 14:21:27 2022, "Improvements to Eagle dimension importing."
392ed5fecd, Marek Roszko, Tue Apr 12 06:11:16 2022, "Add policy to enable/disable pcm"
74c3ad0b3a, jean-pierre charras, Tue Apr 12 11:17:04 2022, "Shadow on locked fp: do not show if LAYER_MOD_FR or LAYER_MOD_BK is not shown"
819276bd98, Seth Hillbrand, Tue Apr 12 01:55:54 2022, "DP tolerance needs to be 1IU on each axis"
f88e0481c8, Marek Roszko, Tue Apr 12 00:59:51 2022, "Change the behavior of ACTION_MENU::Add to require clones if required outside the function"
16acba34d3, Jeff Young, Mon Apr 11 23:14:54 2022, "Don't save schematic symbol back to lib manager."
1db8229068, Roberto Fernandez Bautista, Mon Apr 11 22:49:26 2022, "qa_eeschema refactor: Create generic SCHEMATIC_TEST_FIXTURE"
0e2429b5cc, Roberto Fernandez Bautista, Mon Apr 11 15:49:33 2022, "3D Viewer: Don't render zero-width circles"
830f1891c2, Jeff Young, Mon Apr 11 21:00:34 2022, "Don't forget Pos0 when updating position."
2a5769607f, Seth Hillbrand, Mon Apr 11 20:39:03 2022, "Revert "Change the behavior of ACTION_MENU::Add to require clones if required outside the function""
546b3bfbc0, Jeff Young, Mon Apr 11 20:32:16 2022, "Select wire ends in select all."
c9a6aadee2, Seth Hillbrand, Mon Apr 11 18:41:20 2022, "Update Translations"
c473a0abaa, Ulices, Sun Apr 10 17:22:23 2022, "Translated using Weblate (Spanish (Mexico))"
13910d35bd, Henrik Kauhanen, Sun Apr 10 13:26:28 2022, "Translated using Weblate (Swedish)"
b205e0a1fd, Andrey Fedorushkov, Sun Apr 10 11:39:14 2022, "Translated using Weblate (Russian)"
122ae7c24d, ZbeeGin, Sun Apr 10 13:22:22 2022, "Translated using Weblate (Polish)"
bd9d618a41, Toni Laiho, Fri Apr 8 15:27:14 2022, "Translated using Weblate (Finnish)"
d944a74a98, Arnau Llovet Vidal, Fri Apr 8 13:56:04 2022, "Translated using Weblate (Catalan)"
7a08c5b389, Ulices, Wed Apr 6 19:04:28 2022, "Translated using Weblate (Spanish (Mexico))"
9af9c0b2bf, Wellington Terumi Uemura, Tue Apr 5 17:07:10 2022, "Translated using Weblate (Portuguese (Brazil))"
3285f4b913, Eric, Tue Apr 5 03:53:31 2022, "Translated using Weblate (Chinese (Simplified))"
5b4c13cfe2, Henrik Kauhanen, Tue Apr 5 01:16:37 2022, "Translated using Weblate (Swedish)"
ac71f8f64b, Toni Laiho, Wed Apr 6 21:36:42 2022, "Translated using Weblate (Finnish)"
61c47d9211, Mark Hämmerling, Tue Apr 5 18:14:06 2022, "Translated using Weblate (German)"
52241e2f31, Toni Laiho, Mon Apr 4 23:23:42 2022, "Translated using Weblate (Finnish)"
7b67bbefc1, Toni Laiho, Mon Apr 4 22:53:58 2022, "Translated using Weblate (Finnish)"
f0f10a43a2, jean-pierre charras, Mon Apr 11 18:11:17 2022, "Ensure "Clear Recent Files" menuitem titles are updated after language change. (missing fixes in commit ac8e2d076)"
a49bb792bd, Jeff Young, Mon Apr 11 17:09:27 2022, "Insert chevrons when placing vias near tracks."
4defc946ef, Roberto Fernandez Bautista, Mon Apr 11 14:38:57 2022, "Fix rounding errors in SHAPE_ARC::Collide + fix qa tests Use CIRCLE::NearestPoint to ensure consistency"
3b796265a0, Marco Ciampa, Mon Apr 11 13:34:46 2022, "Updated Italian translation"
74a578047c, Jeff Young, Mon Apr 11 13:01:38 2022, "Make sure to add any now-necessary junctions after a rotate."
8358685920, Jeff Young, Mon Apr 11 12:47:47 2022, "Dual-purpose IsMovableFromAnchorPoint to keep from moving symbols off-grid."
ac8e2d0768, jean-pierre charras, Mon Apr 11 09:11:26 2022, "Ensure "Open Recent" and "Clear files" menu titles are updated after language change."
403992a6f4, Marek Roszko, Mon Apr 11 04:35:39 2022, "Change the behavior of ACTION_MENU::Add to require clones if required outside the function"
5bb2cdf73d, Marek Roszko, Mon Apr 11 04:33:43 2022, "Revert "Stop leaking submenu items""
34c70a51ea, Marek Roszko, Mon Apr 11 04:01:41 2022, "Stop leaking submenu items"
c2bf691e56, Jeff Young, Mon Apr 11 00:40:59 2022, "Don't allow grid dialog to be resized, but do set help text before laying out."
29eb5931c2, Jeff Young, Mon Apr 11 00:14:30 2022, "Be more careful with forced cursor positions."
32a2490677, Jeff Young, Sun Apr 10 23:43:09 2022, "Prefer -90 to 270 for text rotation in dialog boxes."
1dae5eb7c4, Jeff Young, Sun Apr 10 20:48:45 2022, "A better blob vs web detector."
1a2e0d8226, Jeff Young, Sun Apr 10 19:20:34 2022, "Apply the min-width-by-min-width test to islands after pruning."
2663ad5340, Jeff Young, Sun Apr 10 17:48:24 2022, "Implement Eagle text variables."
a23399a1af, Jeff Young, Sun Apr 10 13:23:41 2022, "Formatting."
08b7842c03, Jeff Young, Sun Apr 10 13:01:07 2022, "Fix compile warnings."
fd83e675a2, Marek Roszko, Sun Apr 10 13:46:54 2022, "Don't pointlessly construct a wxBitmap"
82820d4b1c, Jeff Young, Sat Apr 9 21:39:35 2022, "Cleanup."
18fb2ddff6, Jeff Young, Sat Apr 9 21:12:07 2022, "Coverity fixes."
8fc652270e, Jeff Young, Sat Apr 9 14:59:59 2022, "Cleanup."
117bd4fc22, Jeff Young, Sat Apr 9 14:58:53 2022, "Adjust LIB_SYMBOL compare for use with ERC."
b3c5054d6c, Marek Roszko, Sat Apr 9 20:01:07 2022, "Add initial system policy checking for turning off data collection"
0015574a60, Roberto Fernandez Bautista, Sat Apr 9 16:38:47 2022, "${SHEETNAME} represents the sheet name + introduce ${SHEETPATH}"
5e52539939, jean-pierre charras, Sat Apr 9 15:33:01 2022, "eagle importer: fix incorrect conversion UTF8/wxString. When importing a eagle board file using wxXmlDocument, the strings in eagle BOARD (UTF8 encoded) are correctly converted to wxString (using unicode wide chars) So trying to reconvert these strings using FROM_UTF8( <wxString>.c_str() ) is incorrect and can break initial string if non ASCII7 chars are found"
239f0214ac, Wayne Stambaugh, Fri Apr 8 18:05:27 2022, "Eeschema: add support for default schematic symbol instance data."
8f63aea0c3, Marek Roszko, Sat Apr 9 13:42:22 2022, "Bump boost minimum per previous discussion"
5bf163de80, Jeff Young, Fri Apr 8 20:12:13 2022, "Update kimath test for recent bugfix."
1d5be1adeb, jean-pierre charras, Fri Apr 8 18:40:13 2022, "Cairo GAL: fix incorrect size and thickness of text drawn by GAL::BitmapText()"
6e35d5473e, jean-pierre charras, Fri Apr 8 12:40:41 2022, "Fix an issue on wxWidgets 3.1.6 when printing bitmaps"
007906cd16, Jeff Young, Fri Apr 8 17:14:42 2022, "Fix a degeneracy bug in arc collisions."
722b2588f4, Jeff Young, Fri Apr 8 12:37:27 2022, "Better error reporting for DP uncoupled length."
079d4a603a, Jeff Young, Fri Apr 8 12:35:52 2022, "Improve transparency handling while plotting."
702623ef87, Seth Hillbrand, Thu Apr 7 18:29:02 2022, "Don't flag pin missing driver when there is an NC"
c17b90c8dc, Jeff Young, Thu Apr 7 12:51:00 2022, "Run pinning on sides as well as corners."
dead84e7a1, Jeff Young, Thu Apr 7 01:09:08 2022, "A right-to-left single-char sel followed by typing leaves cursor the same."
9fcc641808, Seth Hillbrand, Thu Apr 7 02:02:10 2022, "Don't set the dirty bit when running DRC"
4b0b4c0ddc, Seth Hillbrand, Thu Apr 7 01:51:44 2022, "Show non-driven error on single-pin nets"
91a3024e34, Seth Hillbrand, Thu Apr 7 00:58:16 2022, "Check pointer after yield"
356d565d48, Jeff Young, Wed Apr 6 19:18:01 2022, "Normalize rectangular shapes before feeding to point editor."
67d54ecb4c, Jeff Young, Wed Apr 6 14:43:24 2022, "A bit of dialog layout cleanup."
b66df1e4f3, Seth Hillbrand, Wed Apr 6 01:26:05 2022, "Remove dead code"
06df90636b, Jeff Young, Wed Apr 6 00:32:48 2022, "Rationalize negative line-width handling."
a9c61d21ca, Sylwester Kocjan, Sat Apr 2 14:25:39 2022, "eeschema: fix crash when closing simulation frame"
1594df3498, Jeff Young, Tue Apr 5 21:10:25 2022, "Fix egregious typo."
0bd3341f0f, Jeff Young, Tue Apr 5 17:25:03 2022, "Allow textboxes to have no text.  (They still have a defined box.)"
c591e19e9f, Jeff Young, Tue Apr 5 15:54:16 2022, "Smarten textbox conversion back to cardinal rectangle."
ed361925ba, Jeff Young, Tue Apr 5 15:37:38 2022, "Repair code that was supposed to be after LoadSymbol()."
68ca385e07, Jeff Young, Tue Apr 5 14:15:27 2022, "On-the-fly translations for pin electrical types."
3196857449, Jeff Young, Tue Apr 5 13:05:49 2022, "Fix incorrectly initialized variable."
dc8556726b, markus-bonk, Tue Apr 5 08:38:09 2022, "Fix building QA tests with options -DKICAD_USE_3DCONNEXION=ON"
44296dfea2, Marek Roszko, Tue Apr 5 04:10:59 2022, "Forcefully ignore PYTHONPATH env variable on Windows"
092e4635a9, Seth Hillbrand, Mon Apr 4 22:55:38 2022, "Update Translations"
1b0228a48b, Tian Yunhao, Mon Apr 4 09:45:12 2022, "Translated using Weblate (Chinese (Simplified))"
9526630a7c, Henrik Kauhanen, Mon Apr 4 01:15:32 2022, "Translated using Weblate (Swedish)"
3a0bb619bc, Toni Laiho, Mon Apr 4 17:18:58 2022, "Translated using Weblate (Finnish)"
6bc6c9062f, Ulices, Mon Mar 28 22:23:08 2022, "Translated using Weblate (Spanish (Mexico))"
50b0a37643, Wellington Terumi Uemura, Tue Mar 29 04:16:34 2022, "Translated using Weblate (Portuguese (Brazil))"
dd6e598671, Eric, Tue Mar 29 04:06:08 2022, "Translated using Weblate (Chinese (Simplified))"
b79415d993, Henrik Kauhanen, Tue Mar 29 23:39:01 2022, "Translated using Weblate (Swedish)"
c3bff77129, ZbeeGin, Mon Mar 28 21:21:42 2022, "Translated using Weblate (Polish)"
92799b2e3c, Toni Laiho, Wed Mar 30 20:33:09 2022, "Translated using Weblate (Finnish)"
2944f7d145, Mark Hämmerling, Wed Mar 30 01:42:49 2022, "Translated using Weblate (German)"
9d9df62dd9, Jan Straka, Sun Apr 3 10:17:15 2022, "Translated using Weblate (Czech)"
616c240ac6, Arnau Llovet Vidal, Tue Mar 29 15:42:32 2022, "Translated using Weblate (Catalan)"
a118249093, Jeff Young, Mon Apr 4 21:42:00 2022, "NPTHs obey HOLE_CLEARANCE, not CLEARANCE."
f272056f20, Jeff Young, Mon Apr 4 21:09:35 2022, "Fix assert."
921181b20b, Jeff Young, Mon Apr 4 21:08:34 2022, "Cleanup."
1926af0c34, Seth Hillbrand, Mon Apr 4 21:24:56 2022, "UNDEFINED_LAYER is always flashed"
7f7910d922, Jeff Young, Mon Apr 4 18:39:33 2022, "Dirty text caches in pcb point editor."
3f9cfc0ac1, Jeff Young, Mon Apr 4 17:56:14 2022, "Fix incorrect m_SyncPinEdit setting."
fd9fd1df05, Jeff Young, Mon Apr 4 16:00:15 2022, "Careful of skipping non-flashed pads for performance: they might still have a hole."
dad31f50b7, jean-pierre charras, Mon Apr 4 14:42:29 2022, "VRML export: fix a different arc to segment approx for NP holes and Plated holes."
ece9c45e95, jean-pierre charras, Mon Apr 4 12:25:35 2022, "VRML exporter: make export faster by using SHAPE_POLY_SET::PM_FAST."
d05f5337ed, jean-pierre charras, Mon Apr 4 11:21:35 2022, "VRML export: fix different error values to approximate arcs depending on options. When exported with option "link 3D shapes to external files", the error value was bigger because the VRML unit used in calculations differs from the one used when merging 3D shapes in board file (for historical reasons). Fixes #11326 https://gitlab.com/kicad/code/kicad/issues/11326"
90af5a36d2, Jeff Young, Mon Apr 4 00:51:03 2022, "Show hole clearance lines around NPTH pads."
f22316b868, Jeff Young, Mon Apr 4 00:04:05 2022, "Careful about hiding pad layers."
0a5438ec88, Marek Roszko, Mon Apr 4 03:22:59 2022, "Fix gitignore to ignore build in the root rather than wildcard"
9a0fa460d1, Marek Roszko, Mon Apr 4 03:19:19 2022, "Add missing sentry-native file"
aee5ff8935, Jeff Young, Sat Apr 2 23:37:24 2022, "Make sure text caches get updated on move."
0bdbfe1446, Wayne Stambaugh, Sat Apr 2 15:36:20 2022, "Pcbnew: add plot on all layers feature."
bd18e340f4, Thomas Pointhuber, Sat Apr 2 20:07:16 2022, "eagle: introduce *.lbr footprint import test"
056748e0df, Thomas Pointhuber, Sat Apr 2 18:13:52 2022, "altium: Add testcase to verify that "PCB Binary Version 5.0" is also supported"
406c528ab7, Thomas Pointhuber, Sat Apr 2 18:04:45 2022, "altium: Create region for items on the KEEP_OUT_LAYER and use new Track unit-tests"
05fbe47a1b, Sylwester Kocjan, Tue Mar 29 23:51:09 2022, "eeschema: two fixes for simulation tuners"
f7cdc7af75, Jeff Young, Sat Apr 2 16:08:32 2022, "Apply a more sophisticated test for ignoring isInCoupledDiffPair."
b18e441a88, Marek Roszko, Sat Apr 2 15:57:30 2022, "Free memory in dxf import sooner on bad_alloc"
9f8c0a8185, Marek Roszko, Sat Apr 2 05:13:38 2022, "Catch memory exhaustion trying to import large DXFs"
f0f33ef1d3, Mark Roszko, Sat Apr 2 03:21:55 2022, "Introduce sentry for crash data collection"
0625e20fc0, Seth Hillbrand, Sat Apr 2 00:13:48 2022, "Cleanup spacemouse plugin"
9402b2aeda, Jeff Young, Fri Apr 1 23:40:05 2022, "Take fill into account when hit-testing arcs."
a12f77b8f6, Jeff Young, Fri Apr 1 22:23:38 2022, "Don't render fills in black & white mode."
737d65fd36, Seth Hillbrand, Fri Apr 1 22:21:10 2022, "Skip zero-size elements when converting"
5d5a2f9270, Seth Hillbrand, Fri Apr 1 21:38:47 2022, "Allow common greek letters in passive regex"
4719fdc9bf, Sylwester Kocjan, Tue Mar 29 00:02:49 2022, "eeschema: rename m_exporter to m_circuitModel"
f5dedd77c6, Sylwester Kocjan, Sun Mar 6 00:49:25 2022, "eeschema,sim: add SIMULATOR and SIM_MODEL interface"
be6379a8f6, jean-pierre charras, Fri Apr 1 17:42:27 2022, "Fix minor Coverity and compil warnings."
6f818f4c2e, Jeff Young, Fri Apr 1 20:25:51 2022, "Editing support for sheet-pin fonts, text styles and text colors."
d174af4006, Jeff Young, Fri Apr 1 17:11:42 2022, "Handle textboxes moving back to RECT shape (ie: cardinal rotation)."
5d9668938b, jean-pierre charras, Fri Apr 1 10:42:20 2022, "SYMBOL_EDITOR_CONTROL::DuplicateSymbol(): fix incorrect validation test. DuplicateSymbol() is called both to duplicate and paste. Only duplicate needs a test to know if a symbol is selected. Fixes #11053 https://gitlab.com/kicad/code/kicad/issues/11053"
49c48e2fe0, Seth Hillbrand, Fri Apr 1 02:04:08 2022, "Consistently handle env/prj variables"
6b99a937d8, Jeff Young, Thu Mar 31 23:09:35 2022, "Look for sheet pins inside sheets."
48a70a65b5, Jeff Young, Thu Mar 31 22:37:53 2022, "Fix a typo and add a missing color definition."
1a9ef4bd0f, markus-bonk, Thu Mar 31 21:03:41 2022, "Add support for using a SpaceMouse to pan & zoom in the schematic editor."
e8a543f1ea, Jeff Young, Thu Mar 31 20:43:08 2022, "Colors for text in PL_Editor and Eeschema."
748cc1a59a, Jeff Young, Wed Mar 30 21:37:56 2022, "Pay better attention to aPlotter->GetColorMode()."
bb43a3926a, Jeff Young, Wed Mar 30 20:53:41 2022, "Math and I don't get along.  So just be pedantic about text rotation."
eac1ab3d1f, jean-pierre charras, Wed Mar 30 18:02:36 2022, "QA: fix paths in CMakeLists.txt after QA paths changes"
8382740cb7, jean-pierre charras, Wed Mar 30 18:07:31 2022, "French translation update"
659e61355c, Jeff Young, Wed Mar 30 16:49:59 2022, "Adjust text spacing a bit more so 6.0 boards are more likely to pass DRC."
7c21a0bdd4, Jeff Young, Wed Mar 30 16:19:48 2022, "Dirty text render caches in point editor."
5c7b022f40, Jeff Young, Wed Mar 30 15:39:38 2022, "Be more pedantic about setting GAL line width."
4424865577, Jeff Young, Wed Mar 30 15:25:34 2022, "Make sure spaces at start of line get accounted for."
3da47e6123, Sylwester Kocjan, Fri Mar 18 22:30:17 2022, "qa: move pcbnew data to appropriate directory"
cfb8fbc644, Sylwester Kocjan, Fri Mar 18 22:26:09 2022, "qa: move eeschema data to appropriate directory"
0d64fc8c09, Sylwester Kocjan, Fri Mar 18 21:05:15 2022, "qa: move unittests to the separate directory"
df2d8a5680, Sylwester Kocjan, Fri Mar 18 20:50:37 2022, "qa: move tools to the separate directory"
f3be3a5762, jean-pierre charras, Wed Mar 30 10:56:16 2022, "test: update test files to fix DRC issues after changing the text position algo."
c0d8657d97, Wayne Stambaugh, Tue Mar 29 22:08:02 2022, "Plot on all layers prep work."
